position,№,wikipedia_link,Başkan,Görev başlangıcı,Görev bitişi,Görev süresi,birth_year,birth_place,birth_date
Head of National Intelligence,1,https://tr.wikipedia.org/wiki/%C5%9E%C3%BCkr%C3%BC_%C3%82li_%C3%96gel,Albay Şükrü Âli Ögel,25 Aralık 1926,7 Temmuz 1941,"14 yıl, 194 gün",1886,"Trebinye, Bosna","Mehmed Şükrü1886Trebinye, Bosna"
Head of National Intelligence,2,https://tr.wikipedia.org/wiki/Mehmet_Naci_Perkel,Yarbay Mehmet Naci Perkel,1 Ağustos 1941,3 Eylül 1953,"12 yıl, 33 gün",1889,İstanbul,1889İstanbul
Head of National Intelligence,3,https://tr.wikipedia.org/wiki/Beh%C3%A7et_T%C3%BCrkmen,Tümgeneral Behçet Türkmen,3 Eylül 1953,27 Mart 1957,"3 yıl, 205 gün",1899,Bursa,9 Mayıs 1899(1899-05-09)Bursa
Head of National Intelligence,–,https://tr.wikipedia.org/wiki/Emin_%C3%87obano%C4%9Flu,Emin Çobanoğlu (vekil),27 Mart 1957,18 Nisan 1957,22 gün,1901,"Serez, Osmanlı İmparatorluğu","1901Serez, Osmanlı İmparatorluğu"
Head of National Intelligence,–,https://tr.wikipedia.org/wiki/Ahmet_Salih_Korur,Ahmet Salih Korur (vekil),18 Nisan 1957,23 Eylül 1957,158 gün,1905,İstanbul,1901İstanbul
Head of National Intelligence,–,https://tr.wikipedia.org/wiki/Emin_%C3%87obano%C4%9Flu,Emin Çobanoğlu (vekil),23 Eylül 1957,21 Kasım 1957,59 gün,,,
Head of National Intelligence,4,https://tr.wikipedia.org/wiki/H%C3%BCseyin_Avni_G%C3%B6kt%C3%BCrk,Hüseyin Avni Göktürk,21 Kasım 1957,21 Temmuz 1959,"1 yıl, 242 gün",,,
Head of National Intelligence,–,https://tr.wikipedia.org/wiki/Ahmet_Salih_Korur,Ahmet Salih Korur (vekil),21 Temmuz 1959,2 Ekim 1959,73 gün,,,
Head of National Intelligence,5,https://tr.wikipedia.org/wiki/Ahmet_Cel%C3%A2lettin_Karasapan,Ahmet Celâlettin Karasapan,2 Ekim 1959,2 Haziran 1960,244 gün,1899,"[1], Medine, Osmanlı İmparatorluğu","Ahmet Celalettin[1]1899Medine, Osmanlı İmparatorluğu"
Head of National Intelligence,6,https://tr.wikipedia.org/wiki/Ziya_Sel%C4%B1%C5%9F%C4%B1k,Ziya Selışık,3 Haziran 1960,17 Ocak 1961,228 gün,1900,Kırşehir,13 Temmuz 1900Kırşehir
Head of National Intelligence,7,https://tr.wikipedia.org/wiki/Naci_A%C5%9Fkun,Tümgeneral Naci Aşkun,17 Ocak 1961,18 Ağustos 1962,"1 yıl, 213 gün",1906,Uşak,1906Uşak
Head of National Intelligence,8,https://tr.wikipedia.org/wiki/Fuat_Do%C4%9Fu,Kurmay Albay Fuat Doğu,27 Ağustos 1962,25 Ağustos 1964,"1 yıl, 364 gün",1934,İstanbul,1914İstanbul
Head of National Intelligence,(6),https://tr.wikipedia.org/wiki/Ziya_Sel%C4%B1%C5%9F%C4%B1k,Ziya Selışık,29 Ağustos 1964,13 Temmuz 1965,318 gün,,,
Head of National Intelligence,–,https://tr.wikipedia.org/wiki/Avni_Kantan,Avni Kantan (vekil),14 Temmuz 1965,2 Mart 1966,231 gün,1910,1910,1910
Head of National Intelligence,(8),https://tr.wikipedia.org/wiki/Fuat_Do%C4%9Fu,Korgeneral Fuat Doğu,2 Mart 1966,27 Mart 1971,"5 yıl, 25 gün",,,
Head of National Intelligence,9,https://tr.wikipedia.org/wiki/Nurettin_Ersin,Korgeneral Nurettin Ersin,2 Ağustos 1971,25 Temmuz 1973,"1 yıl, 357 gün",,,
Head of National Intelligence,–,https://tr.wikipedia.org/wiki/B%C3%BClent_T%C3%BCrker,Tuğgeneral Bülent Türker (vekil),25 Temmuz 1973,27 Şubat 1974,215 gün,1945,"Üsküdar, İstanbul","1926Üsküdar, İstanbul"
Head of National Intelligence,10,https://tr.wikipedia.org/wiki/Bahattin_%C3%96z%C3%BClker,Em. Koramiral Bahattin Özülker,28 Şubat 1974,26 Eylül 1974,210 gün,1933,İstanbul,1914İstanbul
Head of National Intelligence,–,https://tr.wikipedia.org/wiki/B%C3%BClent_T%C3%BCrker,Tuğgeneral Bülent Türker (vekil),30 Eylül 1974,24 Kasım 1974,59 gün,,,
Head of National Intelligence,11,https://tr.wikipedia.org/wiki/Hamza_G%C3%BCrg%C3%BC%C3%A7,Em. Orgeneral Hamza Gürgüç,25 Kasım 1974,13 Temmuz 1978,"3 yıl, 230 gün",1933,"Sinop, Osmanlı İmparatorluğu","1913Sinop, Osmanlı İmparatorluğu"
Head of National Intelligence,12,https://tr.wikipedia.org/wiki/Adnan_Ers%C3%B6z,Em. Orgeneral Adnan Ersöz,13 Temmuz 1978,19 Kasım 1979,"1 yıl, 129 gün",,,
Head of National Intelligence,13,https://tr.wikipedia.org/wiki/B%C3%BClent_T%C3%BCrker,Korgeneral Bülent Türker,19 Kasım 1979,7 Eylül 1981,"1 yıl, 292 gün",,,
Head of National Intelligence,14,https://tr.wikipedia.org/wiki/Burhanettin_Bigal%C4%B1,Korgeneral Burhanettin Bigalı,7 Eylül 1981,14 Ağustos 1986,"4 yıl, 341 gün",1947,"Bergama, İzmir, Türkiye","Burhaneddin29 Ağustos 1927Bergama, İzmir, Türkiye"
Head of National Intelligence,15,https://tr.wikipedia.org/wiki/Hayri_%C3%9Cnd%C3%BCl,Korgeneral Hayri Ündül,5 Eylül 1986,29 Ağustos 1988,"1 yıl, 359 gün",1950,Muğla,1929Muğla
Head of National Intelligence,16,https://tr.wikipedia.org/wiki/Teoman_Koman,Korgeneral Teoman Koman,29 Ağustos 1988,27 Ağustos 1992,"3 yıl, 364 gün",1936,"İstanbul, Türkiye","7 Temmuz 1936(1936-07-07)İstanbul, Türkiye"
Head of National Intelligence,17,https://tr.wikipedia.org/wiki/S%C3%B6nmez_K%C3%B6ksal,Sönmez Köksal,9 Kasım 1992,11 Şubat 1998,"5 yıl, 94 gün",1940,"İstanbul, Türkiye","8 Mart 1940 (85 yaşında)İstanbul, Türkiye"
Head of National Intelligence,18,https://tr.wikipedia.org/wiki/%C5%9Eenkal_Atasagun,Şenkal Atasagun,11 Şubat 1998,11 Haziran 2005,"7 yıl, 120 gün",1941,"Kars, Türkiye","1941 (84-85 yaşında)Kars, Türkiye"
Head of National Intelligence,19,https://tr.wikipedia.org/wiki/Emre_Taner,Emre Taner,15 Haziran 2005,26 Mayıs 2010,"4 yıl, 345 gün",1942,"Diyarbakır, Türkiye","1942 (83-84 yaşında)Diyarbakır, Türkiye"
Head of National Intelligence,20,https://tr.wikipedia.org/wiki/Hakan_Fidan,Hakan Fidan,27 Mayıs 2010,10 Şubat 2015,"4 yıl, 259 gün",,,
Head of National Intelligence,–,https://tr.wikipedia.org/wiki/%C4%B0smail_Hakk%C4%B1_Musa,İsmail Hakkı Musa (vekil),10 Şubat 2015,10 Mart 2015,28 gün,1960,"Dağbaşı, Araklı, Trabzon, Türkiye","1 Nisan 1960 (65 yaşında)Dağbaşı, Araklı, Trabzon, Türkiye"
Head of National Intelligence,(20),https://tr.wikipedia.org/wiki/Hakan_Fidan,Hakan Fidan,10 Mart 2015,3 Haziran 2023,"8 yıl, 85 gün",,,
Head of National Intelligence,21,https://tr.wikipedia.org/wiki/%C4%B0brahim_Kal%C4%B1n,İbrahim Kalın,5 Haziran 2023,Görevde,"2 yıl, 244 gün",1971,"İstanbul, Türkiye","15 Eylül 1971 (54 yaşında)İstanbul, Türkiye"
